Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
39,2017,P,Pat Neshek,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,Yes
40,2017,P,Jeanmar Gómez,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
41,2017,P,Luis García,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
42,2017,P,Hector Neris,28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
43,2017,P,Víctor Arano,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
44,2017,P,Pedro Beato,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
45,2017,P,Zac Curtis,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
46,2017,P,Drew Anderson,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
47,2017,P,Joely Rodríguez,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
48,2017,P,Kevin Siegrist,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
49,2017,P,Joaquín Benoit,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
50,2017,P,Casey Fien,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
51,2017,P,Juan Nicasio,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
1,2016,C,Cameron Rupp,27,105,419,389,36,98,26,1,16,54,1,0,24,114,0.252,0.303,0.447,0.75,98,174,11,5,0,1,0,Right,No
2,2016,1B,Tommy Joseph,24,107,347,315,47,81,15,0,21,47,1,1,22,75,0.257,0.308,0.505,0.813,113,159,11,4,0,6,0,Right,No
3,2016,2B,César Hernández,26,155,622,547,67,161,14,11,6,39,17,13,66,116,0.294,0.371,0.393,0.764,106,215,6,2,5,2,4,Right,Yes
4,2016,SS,Freddy Galvis,26,158,624,584,61,141,26,3,20,67,17,6,25,136,0.241,0.274,0.399,0.673,78,233,16,3,8,4,6,Right,Yes
5,2016,3B,Maikel Franco,23,152,630,581,67,148,23,1,25,88,1,1,40,106,0.255,0.306,0.427,0.733,94,248,13,5,0,4,7,Right,No
6,2016,LF,Cody Asche,26,71,218,197,22,42,,0,4,18,3,1,18,54,0.213,0.284,0.35,0.635,69,69,1,2,0,1,0,Left,No
7,2016,CF,Odúbel Herrera,24,159,656,583,87,167,21,6,15,49,25,7,63,134,0.286,0.361,,0.781,109,245,6,6,2,2,7,Left,No
8,2016,RF,Peter Bourjos,29,123,383,355,40,89,20,7,5,23,6,4,17,91,0.251,0.292,0.389,0.681,81,138,6,4,6,1,2,Right,No
9,2016,1B,Ryan Howard,36,112,362,331,35,65,10,0,25,59,0,1,27,114,0.196,0.257,0.453,0.71,85,150,7,1,0,3,2,Left,No
10,2016,LF,Tyler Goeddel,23,92,234,213,17,41,3,3,4,16,3,0,17,52,0.192,0.258,0.291,0.549,47,62,4,2,1,1,0,Right,No
11,2016,RF,Aaron Altherr,25,57,227,198,23,39,6,0,4,22,,2,23,,0.197,0.3,0.288,0.587,59,57,4,6,0,0,2,Right,No
12,2016,IF,Andrés Blanco,32,90,209,190,26,48,15,1,4,21,2,3,11,41,0.253,0.316,0.405,0.721,92,77,7,7,0,1,0,Right,Yes
13,2016,C,Carlos Ruiz,37,48,193,165,18,43,6,0,3,12,3,1,24,28,0.261,0.368,0.352,0.719,95,58,3,4,0,0,1,Right,No
14,2016,OF,Jimmy Paredes,27,76,150,143,13,31,7,0,4,17,0,1,5,44,0.217,0.242,0.35,0.591,56,50,0,0,1,1,0,Right,Yes
15,2016,UT,Darin Ruf,29,43,89,83,8,17,2,0,3,9,0,1,4,25,0.205,0.236,0.337,0.573,51,28,5,0,0,2,0,Right,No
16,2016,OF,David Lough,30,30,79,67,6,16,3,1,0,4,1,2,9,8,0.239,0.342,0.313,0.655,78,21,0,2,0,1,1,Left,No
17,2016,OF,Roman Quinn,23,15,69,57,10,15,4,0,0,6,5,1,8,19,0.263,0.373,0.333,0.706,92,19,0,2,2,0,0,Right,Yes
18,2016,UT,Emmanuel Burriss,31,39,50,45,3,5,1,1,0,0,1,0,2,10,0.111,0.184,0.178,0.361,-2,8,1,2,1,0,0,Right,Yes
18,2016,UT,Emmanuel Burriss,31,39,50,45,3,5,1,1,0,0,1,0,2,10,0.111,0.184,0.178,0.361,-2,8,1,2,1,0,0,Right,Yes
19,2016,OF,Cedric Hunter,28,13,36,34,3,3,0,0,1,1,0,0,2,6,0.088,0.139,0.176,0.315,-16,6,1,0,0,0,0,Left,No
20,2016,C,A.J. Ellis,35,11,35,32,3,10,3,0,1,9,1,0,3,7,0.313,0.371,0.5,0.871,131,16,0,0,0,0,0,Right,No
21,2016,2B,Taylor Featherston,26,19,28,26,2,3,1,0,0,1,2,0,2,11,0.115,0.179,0.154,0.332,-9,4,0,0,0,0,0,Right,No
22,2016,C,Jorge Alfaro,23,6,17,16,0,2,0,0,0,0,0,0,1,8,0.125,0.176,0.125,0.301,-17,2,0,0,0,0,1,Right,No
23,2016,P,Jeremy Hellickson,29,31,66,54,3,9,1,0,0,4,0,0,4,24,0.167,0.224,0.185,0.409,12,10,1,0,8,0,0,Right,No
24,2016,P,Jerad Eickhoff,25,30,62,61,4,8,3,0,0,5,0,0,1,12,0.131,0.145,0.18,0.325,-13,11,3,0,0,0,0,Right,No
25,2016,P,Vince Velasquez,24,23,44,40,4,8,1,0,0,0,0,0,1,16,0.2,0.22,0.225,0.445,20,9,1,0,3,0,0,Right,No
26,2016,P,Adam Morgan,26,22,36,32,1,3,1,0,0,1,0,0,1,11,0.094,0.121,0.125,0.246,-34,4,0,0,3,0,0,Left,No
27,2016,P,Aaron Nola,23,18,35,30,1,1,1,0,0,0,0,0,3,17,0.033,0.147,0.067,0.214,-40,2,1,1,1,0,0,Right,No
28,2016,P,Zach Eflin,22,10,23,23,2,6,2,0,0,0,0,0,0,8,0.261,0.261,0.348,0.609,61,8,2,0,0,0,0,Right,No
29,2016,P,Jake Thompson,22,9,17,14,0,2,1,0,0,0,0,0,0,5,0.143,0.143,0.214,0.357,-6,3,1,0,3,0,0,Right,No
30,2016,P,Alec Asher,24,5,11,11,0,1,0,0,0,2,0,0,0,6,0.091,0.091,0.091,0.182,-51,1,0,0,0,0,0,Right,No
31,2016,P,Brett Oberholtzer,26,24,7,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,-23,1,0,0,0,0,0,Left,No
32,2016,P,Charlie Morton,32,4,7,6,1,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-10,1,1,0,1,0,0,Right,No
33,2016,P,Phil Klein,27,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,Right,No
34,2016,P,Frank Herrmann,32,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Left,No
35,2016,P,Severino González,23,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,Right,No
36,2016,P,Luis García,29,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Right,No
37,2016,P,Colton Murray,26,22,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,-100,0,0,0,0,0,0,Right,No
38,2016,P,Edubray Ramos,23,40,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Right,No
39,2016,P,Jeanmar Gómez,28,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
40,2016,P,Daniel Stumpf,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
41,2016,P,Elvis Araújo,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
42,2016,P,Andrew Bailey,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
43,2016,P,Patrick Schuster,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
44,2016,P,Dalier Hinojosa,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
45,2016,P,David Hernandez,31,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
46,2016,P,Hector Neris,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
47,2016,P,James Russell,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
48,2016,P,Joely Rodríguez,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
49,2016,P,Michael Mariot,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
1,2015,C,Carlos Ruiz,36,86,320,284,23,60,13,1,2,22,1,1,28,43,0.211,0.29,0.285,0.575,61,81,13,4,3,1,2,Right,No
2,2015,1B,Ryan Howard,35,129,503,467,53,107,29,1,23,77,0,0,27,138,0.229,0.277,0.443,0.72,96,207,11,5,0,3,2,Left,No
3,2015,2B,César Hernández,25,127,452,405,57,110,20,4,1,35,19,5,40,86,0.272,0.339,0.348,0.687,92,141,6,2,4,1,1,Right,Yes
4,2015,SS,Freddy Galvis,25,151,603,559,63,147,14,5,7,50,10,1,30,103,0.263,0.302,0.343,0.645,79,192,11,3,7,4,1,Right,Yes
5,2015,3B,Maikel Franco,22,80,335,304,45,85,22,1,14,50,1,0,26,52,0.28,0.343,0.497,0.84,130,151,8,4,0,1,2,Right,No
6,2015,LF,Cody Asche,25,129,456,425,41,104,22,3,12,39,1,2,26,111,0.245,0.294,0.395,0.689,90,168,4,4,0,1,3,Left,No
7,2015,CF,Odúbel Herrera,23,147,537,495,64,147,30,3,8,41,16,8,28,129,0.297,0.344,0.418,0.762,111,207,6,8,5,1,0,Left,No
8,2015,RF,Jeff Francoeur,31,118,343,326,34,84,16,1,13,45,0,2,13,77,0.258,0.286,0.433,0.718,96,141,10,1,0,3,0,Right,No
9,2015,OF,Ben Revere,27,96,388,366,49,109,13,6,1,26,24,5,19,36,0.298,0.334,0.374,0.709,97,137,4,1,2,0,0,Left,No
10,2015,C,Cameron Rupp,26,81,299,270,24,63,9,1,9,28,0,1,24,71,0.233,0.301,0.374,0.675,87,101,8,3,0,2,5,Right,No
11,2015,UT,Darin Ruf,28,106,297,268,30,63,12,0,12,39,1,0,21,69,0.235,0.3,0.414,0.714,96,111,,5,0,3,0,Right,No
12,2015,2B,Chase Utley,36,73,282,249,23,54,12,1,5,30,3,0,22,35,0.217,0.284,0.333,0.617,71,83,6,4,0,7,4,Left,No
13,2015,IF,Andrés Blanco,31,106,261,233,32,68,22,3,7,25,1,1,21,44,0.292,0.36,0.502,0.863,137,117,11,4,3,0,0,Right,Yes
14,2015,RF,Domonic Brown,27,63,204,189,19,43,6,1,5,25,3,1,14,36,0.228,0.284,0.349,0.634,75,66,2,1,0,0,0,Left,No
15,2015,OF,Aaron Altherr,24,39,161,137,25,33,11,4,5,22,6,2,16,41,0.241,0.338,0.489,0.827,126,67,3,5,1,2,0,Right,No
16,2015,RF,Grady Sizemore,32,39,104,98,4,24,5,0,0,6,0,0,6,23,0.245,0.288,0.296,0.584,63,29,2,0,0,0,0,Left,No
17,2015,UT,Darnell Sweeney,24,37,98,85,9,15,4,1,3,11,0,2,13,27,0.176,0.286,0.353,0.639,77,30,1,0,0,0,0,Right,Yes
18,2015,RF,Brian Bogusevic,31,22,61,58,9,15,3,0,2,5,2,0,3,21,0.259,0.295,0.414,0.709,94,24,1,0,0,0,0,Left,No
19,2015,UT,Erik Kratz,35,12,23,22,3,5,2,0,0,2,0,0,1,3,0.227,0.261,0.318,0.579,60,7,0,0,0,0,0,Right,No
20,2015,IF,Chase d'Arnaud,28,11,18,17,2,3,0,1,0,0,0,1,1,7,0.176,0.222,0.294,0.516,42,5,0,0,0,0,0,Right,No
21,2015,LF,Jordan Danks,28,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,Left,No
22,2015,P,Aaron Harang,37,28,58,48,4,8,1,0,0,0,0,0,1,18,0.167,0.184,0.188,0.371,4,9,2,0,9,0,0,Right,No
23,2015,P,Cole Hamels,31,19,43,39,2,6,1,0,0,0,0,0,0,15,0.154,0.154,0.179,0.333,-8,7,1,0,4,0,0,Left,No
24,2015,P,Jerome Williams,33,30,36,31,0,2,1,0,0,1,0,0,1,14,0.065,0.094,0.097,0.191,-47,3,0,0,4,0,0,Right,No
25,2015,P,Adam Morgan,25,13,27,26,2,2,1,0,0,1,0,0,0,12,0.077,0.077,0.115,0.192,-47,3,0,0,1,0,0,Left,No
26,2015,P,Aaron Nola,22,13,26,23,0,2,0,0,0,1,0,0,1,16,0.087,0.125,0.087,0.212,-39,2,0,0,2,0,0,Right,No
27,2015,P,Sean O'Sullivan,27,12,23,20,2,2,1,0,0,0,0,0,1,10,0.1,0.143,0.15,0.293,-18,3,0,0,2,0,0,Right,No
28,2015,P,David Buchanan,26,15,23,20,2,4,1,0,0,1,0,0,2,8,0.2,0.273,0.25,0.523,47,5,0,0,1,0,0,Right,No
29,2015,P,Jerad Eickhoff,24,7,16,14,1,2,0,0,0,2,0,0,0,7,0.143,0.143,0.143,0.286,-20,2,0,0,2,0,0,Right,No
30,2015,P,Chad Billingsley,30,7,14,13,2,1,0,0,1,1,0,0,0,5,0.077,0.077,0.308,0.385,0,4,1,0,1,0,0,Right,No
31,2015,P,Severino González,22,7,12,10,2,1,0,0,0,1,0,0,1,4,0.1,0.182,0.1,0.282,-18,1,0,0,1,0,0,Right,No
32,2015,P,Kevin Correia,34,4,7,6,0,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-7,1,0,0,1,0,0,Right,No
33,2015,P,Alec Asher,23,6,6,6,0,2,1,0,0,0,0,0,0,3,0.333,0.333,0.5,0.833,128,3,0,0,0,0,0,Right,No
34,2015,P,Dustin McGowan,33,13,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,Right,No
35,2015,P,Adam Loewen,31,19,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,86,1,1,0,0,0,0,Left,No
36,2015,P,Justin De Fratus,27,57,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,86,1,0,0,0,0,0,Right,Yes
37,2015,P,Jeanmar Gómez,27,61,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
38,2015,P,Elvis Araújo,23,36,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Left,No
39,2015,P,Hector Neris,26,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
40,2015,P,Phillippe Aumont,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Left,No
41,2015,P,César Jiménez,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
42,2015,P,Kenny Roberts,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
43,2015,P,Ken Giles,24,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
44,2015,P,Dalier Hinojosa,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
45,2015,P,Luis García,28,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
46,2015,P,Nefi Ogando,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
47,2015,P,Colton Murray,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
48,2015,P,Seth Rosin,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
49,2015,P,Jake Diekman,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
50,2015,P,Jonathan Papelbon,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
